"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022824","GO:0022824","transmitter-gated monoatomic ion channel activity","9/85","22/6213",0.409090909090909,29.9021390374332,15.9928819816199,4.69139546013854e-12,3.77031961365308e-09,3.29662920378835e-09,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-022882#GBRR1-HUMAN#P24046/XLOC-012915#GBRB2-BOVIN#P0C2W5/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-016408#ACHA7-MOUSE#P49582",9
"GO:0022835","GO:0022835","transmitter-gated channel activity","9/85","22/6213",0.409090909090909,29.9021390374332,15.9928819816199,4.69139546013854e-12,3.77031961365308e-09,3.29662920378835e-09,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-022882#GBRR1-HUMAN#P24046/XLOC-012915#GBRB2-BOVIN#P0C2W5/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-016408#ACHA7-MOUSE#P49582",9
"GO:0099529","GO:0099529","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","7/85","10/6213",0.7,51.1658823529412,18.6970622000589,8.10821422290985e-12,3.77031961365308e-09,3.29662920378835e-09,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-016408#ACHA7-MOUSE#P49582",7
"GO:1904315","GO:1904315","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","7/85","10/6213",0.7,51.1658823529412,18.6970622000589,8.10821422290985e-12,3.77031961365308e-09,3.29662920378835e-09,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-016408#ACHA7-MOUSE#P49582",7
"GO:0098960","GO:0098960","postsynaptic neurotransmitter receptor activity","7/85","11/6213",0.636363636363636,46.5144385026738,17.7928476046946,2.20523980647539e-11,8.20349208008846e-09,7.17283263369365e-09,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-016408#ACHA7-MOUSE#P49582",7
"GO:0005230","GO:0005230","extracellular ligand-gated monoatomic ion channel activity","9/85","28/6213",0.321428571428571,23.4945378151261,14.0492145922511,6.0947941989853e-11,1.88938620168544e-08,1.65201000656707e-08,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-022882#GBRR1-HUMAN#P24046/XLOC-012915#GBRB2-BOVIN#P0C2W5/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-016408#ACHA7-MOUSE#P49582",9
"GO:0015267","GO:0015267","channel activity","15/85","128/6213",0.1171875,8.56571691176471,10.1856931526757,1.18789400564635e-10,2.76185356312776e-08,2.41486347200474e-08,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-002280#CAC1A-APIME#C9D7C2/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-022882#GBRR1-HUMAN#P24046/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-004005#CAC1G-RAT#O54898/gene-evm.model.ptg000001l.946#AQP9-HUMAN#O43315/XLOC-012915#GBRB2-BOVIN#P0C2W5/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-014890#TWK7-CAEEL#P34410/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-016408#ACHA7-MOUSE#P49582",15
"GO:0022803","GO:0022803","passive transmembrane transporter activity","15/85","128/6213",0.1171875,8.56571691176471,10.1856931526757,1.18789400564635e-10,2.76185356312776e-08,2.41486347200474e-08,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-002280#CAC1A-APIME#C9D7C2/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-022882#GBRR1-HUMAN#P24046/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-004005#CAC1G-RAT#O54898/gene-evm.model.ptg000001l.946#AQP9-HUMAN#O43315/XLOC-012915#GBRB2-BOVIN#P0C2W5/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-014890#TWK7-CAEEL#P34410/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-016408#ACHA7-MOUSE#P49582",15
"GO:0022839","GO:0022839","monoatomic ion-gated channel activity","13/85","96/6213",0.135416666666667,9.89816176470588,10.3474296191802,3.70703933845176e-10,7.6612146328003e-08,6.69868512036019e-08,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-002280#CAC1A-APIME#C9D7C2/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-022882#GBRR1-HUMAN#P24046/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-004005#CAC1G-RAT#O54898/XLOC-012915#GBRB2-BOVIN#P0C2W5/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-016408#ACHA7-MOUSE#P49582",13
"GO:0030594","GO:0030594","neurotransmitter receptor activity","9/85","34/6213",0.264705882352941,19.3484429065744,12.6341312381624,4.33035712334032e-10,8.05446424941299e-08,7.0425281637482e-08,"XLOC-010570#ACHA7-HUMAN#P36544/XLOC-027009#ACHA3-HUMAN#P32297/XLOC-010031#ACHB4-BOVIN#Q8SPU6/XLOC-001704#ACHA7-MOUSE#P49582/XLOC-026219#ACHA7-BOVIN#P54131/XLOC-022882#GBRR1-HUMAN#P24046/XLOC-012915#GBRB2-BOVIN#P0C2W5/XLOC-018008#NMDZ1-XENLA#A0A1L8F5J9/XLOC-016408#ACHA7-MOUSE#P49582",9
