p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,6.7014150717816,0.915,0.078,0,9,XLOC-022353#HMCN1-MOUSE#D3YXG0
0,5.93576426231178,0.95,0.118,0,9,gene-evm.model.ptg000010l.338#CADN-ACRMI#B3EWZ3
0,6.12729552359043,0.906,0.102,0,9,XLOC-013483#CADN-ACRMI#B3EWZ3
0,6.47193780732411,0.821,0.045,0,9,XLOC-013482#HMCN1-MOUSE#D3YXG0
0,4.63738973978209,0.871,0.101,0,9,gene-evm.model.ptg000024l.76#gene-evm.model.ptg000024l.76
0,5.22272939506398,0.82,0.073,0,9,XLOC-020865#XLOC-020865
0,5.99511848975552,0.777,0.041,0,9,XLOC-025173#HMCN1-MOUSE#D3YXG0
0,3.15421336820492,0.851,0.16,0,9,gene-evm.model.ptg000003l.670#gene-evm.model.ptg000003l.670
0,2.52084957690506,0.773,0.146,0,9,gene-evm.model.ptg000010l.336#HMCN1-HUMAN#Q96RW7
0,2.75815678595742,0.92,0.311,0,9,XLOC-006516#FKBP9-BOVIN#Q2KJC8
0,2.05283227978952,0.861,0.262,0,9,XLOC-006982#MUC5A-HUMAN#P98088
0,2.17064125665649,0.833,0.288,0,9,XLOC-016646#ADK-PHYPA#O49923
0,4.01895448908403,0.592,0.06,0,9,XLOC-015761#PA23-HELSU#P16354
0,2.13115770180804,0.97,0.443,0,9,XLOC-001314#XLOC-001314
0,2.80385259915659,0.586,0.099,0,9,XLOC-020054#XLOC-020054
0,3.0840848555036,0.567,0.082,0,9,XLOC-014256#XLOC-014256
0,2.4883963190027,0.746,0.267,0,9,XLOC-015762#XLOC-015762
0,4.77263679954193,0.498,0.031,0,9,gene-evm.model.ptg000024l.143#ATS6-HUMAN#Q9UKP5
0,6.09242563174197,0.444,0.011,0,9,gene-evm.model.ptg000010l.369#gene-evm.model.ptg000010l.369
0,2.83245680502064,0.982,0.567,0,9,gene-evm.model.ptg000024l.10#gene-evm.model.ptg000024l.10
0,3.57845677296281,0.441,0.045,0,9,XLOC-024514#SVOP-MOUSE#Q8BFT9
0,4.33893608369851,0.485,0.111,0,9,XLOC-024840#XLOC-024840
0,4.83071850235483,0.363,0.02,0,9,XLOC-002456#NAS13-CAEEL#Q20191
0,6.00773878732092,0.323,0.009,0,9,XLOC-023136#CADN-ACRMI#B3EWZ3
0,5.21596828451309,0.313,0.013,0,9,XLOC-027008#CRFM7-HUMAN#Q494W8
0,2.66946957117787,0.352,0.055,0,9,XLOC-012237#XLOC-012237
0,2.7713992418515,0.317,0.049,0,9,gene-evm.model.ptg000024l.60#TAP-DROME#O16867
0,4.70532587908429,0.126,0.006,0,9,XLOC-025468#XLOC-025468
0,4.64475892668393,0.103,0.004,0,9,XLOC-020053#PMGT1-HUMAN#Q8WZA1
4.051521263114939e-288,3.29270840185954,0.415,0.1,7.16146898468196e-284,9,gene-evm.model.ptg000008l.866
6.15025684181307e-256,4.30374185773306,0.108,0.007,1.0871193993588799e-251,9,XLOC-009379#XLOC-009379
2.62738498343917e-249,2.36872526665602,0.3,0.056,4.644165696727079e-245,9,XLOC-022918#XLOC-022918
4.3501076070573293e-240,4.14297802747727,0.099,0.006,7.689250206234539e-236,9,XLOC-022430#FUCTA-DROME#Q9VUL9
1.7150219332446897e-216,2.09138939706107,0.425,0.121,3.031472769203319e-212,9,XLOC-025144#XLOC-025144
1.5783809180005396e-212,3.20586485248584,0.146,0.016,2.7899461106577498e-208,9,XLOC-003152#NOTO-XENLA#Q06615
1.4587310551589698e-204,0.76731111488534,1,0.991,2.5784530130989897e-200,9,XLOC-022949#TBB4B-BOVIN#Q3MHM5
2.93015046116107e-200,4.22035474711908,0.084,0.005,5.179333955148309e-196,9,XLOC-022917#P4HTM-HUMAN#Q9NXG6
6.670808058880049e-184,2.37435880487797,0.461,0.163,1.1791320324876398e-179,9,XLOC-022352#XLOC-022352
4.854005098556079e-182,2.77567693772068,0.185,0.03,8.57993941220772e-178,9,XLOC-022966#NRX4-DROME#Q94887
4.169295059954539e-173,2.67935963546395,0.158,0.023,7.36964594797565e-169,9,XLOC-022919#P4HTM-MOUSE#Q8BG58
3.89407052357906e-167,3.98825398676354,0.07,0.004,6.883159057478349e-163,9,XLOC-027007#ACH1-CAEBR#A8WQK3
1.21218753498333e-148,2.1277606596769,0.229,0.052,2.14266268683653e-144,9,XLOC-011874#SY65-APLCA#P41823
1.53010468505639e-142,1.01911718898393,0.916,0.775,2.7046130413056796e-138,9,XLOC-022908#MAF-DANRE#Q98UK4
5.72075311547777e-141,2.18492669092561,0.249,0.062,1.0112003206918499e-136,9,XLOC-004474#XLOC-004474
2.58610765984895e-137,2.87756253691119,0.115,0.015,4.571203899548999e-133,9,XLOC-026579#XLOC-026579
3.9754269406060196e-135,4.52087685083272,0.045,0.002,7.026964660215209e-131,9,XLOC-025169#KLKB1-RAT#P14272
4.966949277446959e-133,0.267031859815422,0.615,0.312,8.77957954281524e-129,9,gene-evm.model.ptg000009l.16#COCH-CHICK#O42163
4.2337000278816095e-126,2.82230399783234,0.136,0.023,7.483488169283529e-122,9,XLOC-003718#P4HTM-MOUSE#Q8BG58
9.702435106831479e-121,2.34007011052011,0.158,0.031,1.71500242948353e-116,9,XLOC-003634#XLOC-003634
2.6853232257982198e-120,2.94360948150217,0.112,0.016,4.7465773339209394e-116,9,XLOC-022324#XLOC-022324
4.53865206177914e-116,6.11973753237582,0.049,0.003,8.022521384400801e-112,9,XLOC-002244#TMPS2-MOUSE#Q9JIQ8
2.6556663325460796e-113,2.99110853999583,0.088,0.011,4.694155809408459e-109,9,XLOC-010056#XLOC-010056
5.21241525236853e-113,2.95552528869709,0.099,0.014,9.21346520008661e-109,9,XLOC-024166#B4GN3-MOUSE#Q6L8S8
6.712356205061169e-109,1.84573389801239,0.226,0.062,1.1864760828066099e-104,9,gene-evm.model.ptg000001l.686#SOX14-DANRE#Q32PP9
